Date,OPEN,HIGH,LOW,PREV_CLOSE,VOLUME,symbol_name
4/15/2024,2922.00,2964.25,2892.65,2934.30,6451031.00,RELIANCE
4/12/2024,2951.75,2972.95,2926.15,2959.15,7775506.00,RELIANCE
4/10/2024,2932.70,2974.00,2932.70,2927.30,4569165.00,RELIANCE
4/9/2024,2978.00,2979.60,2925.00,2971.95,3535707.00,RELIANCE
4/8/2024,2925.95,2981.95,2922.00,2920.20,4178559.00,RELIANCE
4/5/2024,2921.75,2941.60,2912.00,2925.85,3721149.00,RELIANCE
4/4/2024,2959.50,2959.50,2900.00,2943.20,7245136.00,RELIANCE
4/3/2024,2964.15,2968.90,2937.80,2973.90,3504146.00,RELIANCE
4/2/2024,2968.00,2988.00,2950.00,2969.55,4455083.00,RELIANCE
4/1/2024,2984.95,2987.95,2965.00,2971.70,2506940.00,RELIANCE
3/28/2024,2985.75,3011.90,2957.30,2985.70,10927182.00,RELIANCE
3/27/2024,2896.00,3000.00,2894.00,2883.15,8163322.00,RELIANCE
3/26/2024,2890.00,2904.80,2878.00,2910.05,5707953.00,RELIANCE
3/22/2024,2899.95,2920.00,2894.70,2901.95,9763804.00,RELIANCE
3/21/2024,2905.05,2915.80,2889.35,2887.50,6503468.00,RELIANCE
3/20/2024,2855.90,2890.00,2848.05,2850.50,4244403.00,RELIANCE
3/19/2024,2857.50,2875.20,2834.50,2878.95,4137882.00,RELIANCE
3/18/2024,2840.00,2883.45,2833.05,2836.45,4584696.00,RELIANCE
3/15/2024,2851.90,2866.45,2825.80,2862.95,9611909.00,RELIANCE
3/14/2024,2879.40,2897.05,2851.00,2864.35,9285551.00,RELIANCE
3/13/2024,2959.55,2966.20,2855.55,2950.85,6761067.00,RELIANCE
3/12/2024,2933.20,2976.00,2930.05,2933.20,4716339.00,RELIANCE
3/11/2024,2978.00,2978.00,2927.00,2957.85,5638565.00,RELIANCE
3/7/2024,3005.95,3006.20,2951.10,3006.00,4157863.00,RELIANCE
3/6/2024,2986.90,3018.00,2957.00,3000.40,3902838.00,RELIANCE
3/5/2024,3011.55,3014.80,2972.10,3014.80,3553834.00,RELIANCE
3/4/2024,2980.95,3024.90,2974.45,2982.15,5012210.00,RELIANCE
3/2/2024,2984.00,3000.90,2976.00,2984.25,358150.00,RELIANCE
3/1/2024,2927.00,3000.00,2925.00,2921.60,6066463.00,RELIANCE
2/29/2024,2930.00,2957.95,2909.05,2911.25,11814488.00,RELIANCE
2/28/2024,2966.00,2982.55,2900.35,2971.30,4323975.00,RELIANCE
2/27/2024,2966.05,2999.90,2956.10,2974.65,5413022.00,RELIANCE
2/26/2024,2987.10,2989.05,2965.00,2987.25,3756553.00,RELIANCE
2/23/2024,2979.00,2995.10,2966.70,2963.50,7219292.00,RELIANCE
2/22/2024,2936.30,2969.90,2916.00,2935.40,9246864.00,RELIANCE
2/21/2024,2948.00,2977.05,2915.10,2942.05,6360146.00,RELIANCE
2/20/2024,2950.05,2951.00,2923.60,2948.00,3558748.00,RELIANCE
2/19/2024,2924.10,2959.00,2907.05,2921.15,3364914.00,RELIANCE
2/16/2024,2952.95,2954.00,2917.10,2941.20,4883749.00,RELIANCE
2/15/2024,2966.70,2969.45,2933.05,2962.75,5003391.00,RELIANCE
2/14/2024,2915.00,2967.30,2915.00,2930.20,3558944.00,RELIANCE
2/13/2024,2911.00,2958.00,2908.00,2904.70,3857797.00,RELIANCE
2/12/2024,2921.50,2922.00,2884.70,2921.50,3337215.00,RELIANCE
2/9/2024,2908.00,2943.95,2901.90,2900.25,6278399.00,RELIANCE
2/8/2024,2900.00,2918.95,2855.05,2884.30,7347317.00,RELIANCE
2/7/2024,2871.85,2899.00,2858.50,2855.60,4648284.00,RELIANCE
2/6/2024,2883.70,2883.70,2839.65,2878.05,4523992.00,RELIANCE
2/5/2024,2921.50,2941.00,2863.05,2915.40,4407216.00,RELIANCE
2/2/2024,2866.35,2949.80,2866.35,2853.30,9826294.00,RELIANCE
